image_file_name,sample_number,meat_part,label,time_frame,file_destination
FRESH-10-_JPG.rf.b39881c9ff5786aac7f0b9f6f76deb58.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-10-_JPG.rf.b39881c9ff5786aac7f0b9f6f76deb58.jpg
FRESH-100-_JPG.rf.65e835ab6a2890785aade192d1e19549.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-100-_JPG.rf.65e835ab6a2890785aade192d1e19549.jpg
FRESH-1000-_JPG.rf.d0f18a5c4075b50beeb7ee99036d491d.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-1000-_JPG.rf.d0f18a5c4075b50beeb7ee99036d491d.jpg
FRESH-1002-_JPG.rf.c09ba304a7a18b55fd5547b438b9160b.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-1002-_JPG.rf.c09ba304a7a18b55fd5547b438b9160b.jpg
FRESH-1003-_JPG.rf.b410c33a04a1fba90032a9086d191d6d.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-1003-_JPG.rf.b410c33a04a1fba90032a9086d191d6d.jpg
FRESH-1005-_JPG.rf.404839308dfdce0228de77bf7458513a.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-1005-_JPG.rf.404839308dfdce0228de77bf7458513a.jpg
FRESH-1008-_JPG.rf.aff377bae6b3ad514d9d11dbc9ad4d5f.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-1008-_JPG.rf.aff377bae6b3ad514d9d11dbc9ad4d5f.jpg
FRESH-1009-_JPG.rf.1c4c304a072d95160d6ec26f0191344e.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-1009-_JPG.rf.1c4c304a072d95160d6ec26f0191344e.jpg
FRESH-101-_JPG.rf.4c18cd9fd197ac72fa9dd68fcd00502f.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-101-_JPG.rf.4c18cd9fd197ac72fa9dd68fcd00502f.jpg
FRESH-102-_JPG.rf.97c72ce29de7a165b8b59fab7bd7c735.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-102-_JPG.rf.97c72ce29de7a165b8b59fab7bd7c735.jpg
FRESH-103-_JPG.rf.8f12ec3bf550794dd0b16325bdc69740.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-103-_JPG.rf.8f12ec3bf550794dd0b16325bdc69740.jpg
FRESH-104-_JPG.rf.205297f10fe3ec4e589102d5d06d0659.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-104-_JPG.rf.205297f10fe3ec4e589102d5d06d0659.jpg
FRESH-105-_JPG.rf.07cbc9f743a13019963f28112c30d9b6.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-105-_JPG.rf.07cbc9f743a13019963f28112c30d9b6.jpg
FRESH-106-_JPG.rf.e52846e129a95100c4442337b570eea3.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-106-_JPG.rf.e52846e129a95100c4442337b570eea3.jpg
FRESH-107-_JPG.rf.ac43eaf2ed93ae57f4a26cfb1b2a71dd.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-107-_JPG.rf.ac43eaf2ed93ae57f4a26cfb1b2a71dd.jpg
FRESH-108-_JPG.rf.8109de5fe39e80699ac3e5e8f8ff771a.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-108-_JPG.rf.8109de5fe39e80699ac3e5e8f8ff771a.jpg
FRESH-109-_JPG.rf.424a8b05df3bfc9703256510ee15c2ed.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-109-_JPG.rf.424a8b05df3bfc9703256510ee15c2ed.jpg
FRESH-110-_JPG.rf.c328c2d34b8ff7c5c20c6c1b145d4507.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-110-_JPG.rf.c328c2d34b8ff7c5c20c6c1b145d4507.jpg
FRESH-111-_JPG.rf.fcac599f24f667bbd45a3fb2aaaaabfb.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-111-_JPG.rf.fcac599f24f667bbd45a3fb2aaaaabfb.jpg
FRESH-112-_JPG.rf.19901d72a42a3bf8ef6c580c20e2d6e0.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-112-_JPG.rf.19901d72a42a3bf8ef6c580c20e2d6e0.jpg
FRESH-113-_JPG.rf.442ad7d1a4545a3b05ba3eebaf299753.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-113-_JPG.rf.442ad7d1a4545a3b05ba3eebaf299753.jpg
FRESH-114-_JPG.rf.4785d661c131c36e6231ffac70a9c103.jpg,,Unknown,fresh,,E:\Thesis Code\Public Dataset\fresh\FRESH-114-_JPG.rf.4785d661c131c36e6231ffac70a9c103.jpg
